Index,Questions
2344,Define survdiff().
2345,What is coxph()?
2346,In which package survival analysis is defined?
2347,What is the use of MASS package?
2348,Define qda().
2349,Define lda().
2350,What is the use of forecast package?
2351,Define auto.arima().
2352,What is principal() function?
2353,What is FactoMineR?
2354,What is the full form of CFA?
2355,What is the use of boot.sem() function?
2356,What is the full form of SEM?
2357,Which function performs classical multidimensional scaling?
2358,Define isoMDS().
2359,Which function perform individual difference scaling?
2360,What is pvclust() function ?
2361,Define cluster.stats() ?
2362,What we use party package?
2363,Which package provide the bootstrapping?
2364,Define MATLAB package.
2365,What is the of use Matrix package?
2366,Check out this video on Data Science Interview Questions:
2367,What is Data Science?
2368,Differentiate between Data Analytics and Data Science
2369,What do you understand about linear regression?
2370,What do you understand by logistic regression?
2371,What is a confusion matrix?
2372,What do you understand about the true-positive rate and false-positive rate?
2373,How is Data Science different from traditional application programming?
2374,Explain the differences between supervised and unsupervised learning.
2375,What is the difference between the long format data and wide format data?
2376,Mention some techniques used for sampling. What is the main advantage of sampling?
2377,What is bias in Data Science?
2378,What is dimensionality reduction?
2379,Why is Python used for Data Cleaning in DS?
2380,Why is R used in Data Visualization?
2381,What are the popular libraries used in Data Science?
2382,What is variance in Data Science?
2383,What is pruning in a decision tree algorithm?
2384,What is entropy in a decision tree algorithm?
2385,What information is gained in a decision tree algorithm?
2386,What is k-fold cross-validation?
2387,Explain how a recommender system works.
2388,What is a normal distribution?
2389,What is Deep Learning?
2390,What is an RNN (recurrent neural network)?
2391,Explain selection bias.
2392,What is the ROC curve?
2393,What do you understand by a decision tree?
2394,What do you understand by a random forest model?
2395,"Two candidates, Aman and Mohan appear for a Data Science Job interview. The probability of Aman cracking the interview is 1/8 and that of Mohan is 5/12. What is the probability that at least one of them will crack the interview?"
2396,How is Data modeling different from Database design?
2397,What is precision?
2398,What is a recall?
2399,What is the F1 score and how to calculate it?
2400,What is a p-value?
2401,Why do we use p-value?
2402,What is the difference between an error and a residual error?
2403,Why do we use the summary function?
2404,How are Data Science and Machine Learning related to each other?
2405,"Explain univariate, bivariate, and multivariate analyses."
2406,How can we handle missing data?
2407,What is the benefit of dimensionality reduction?
2408,What is a bias-variance trade-off in Data Science?
2409,What is RMSE?
2410,What is a kernel function in SVM?
2411,How can we select an appropriate value of k in k-means?
2412,How can we deal with outliers?
2413,How to calculate the accuracy of a binary classification algorithm using its confusion matrix?
2414,What is ensemble learning?
2415,Explain collaborative filtering in recommender systems.
2416,Explain content-based filtering in recommender systems.
2417,Explain bagging in Data Science.
2418,Explain boosting in Data Science.
2419,Explain stacking in Data Science.
2420,Explain how Machine Learning is different from Deep Learning.
2421,What does the word ‘Naive’ mean in Naive Bayes?
2422,"From the below given ‘diamonds’ dataset, extract only those rows where the ‘price’ value is greater than 1000 and the ‘cut’ is ideal."
2423,"Make a scatter plot between ‘price’ and ‘carat’ using ggplot. ‘Price’ should be on the y-axis, ’carat’ should be on the x-axis, and the ‘color’ of the points should be determined by ‘cut.’"
2424,Introduce 25 percent missing values in this ‘iris’ dataset and impute the ‘Sepal.Length’ column with ‘mean’ and the ‘Petal.Length’ column with ‘median.’
2425,"Implement simple linear regression in R on this ‘mtcars’ dataset, where the dependent variable is ‘mpg’ and the independent variable is ‘disp.’"
2426,Calculate the RMSE values for the model building.
2427,Implement simple linear regression in Python on this ‘Boston’ dataset where the dependent variable is ‘medv’ and the independent variable is ‘lstat.’
2428,Implement logistic regression on this ‘heart’ dataset in R where the dependent variable is ‘target’ and the independent variable is ‘age.’
2429,Build an ROC curve for the model built
2430,"Build a confusion matrix for the model where the threshold value for the probability of predicted values is 0.6, and also find the accuracy of the model."
2431,Build a logistic regression model on the ‘customer_churn’ dataset in Python. The dependent variable is ‘Churn’ and the independent variable is ‘MonthlyCharges.’ Find the log_loss of the model.
2432,"Build a decision tree model on ‘Iris’ dataset where the dependent variable is ‘Species,’ and all other columns are independent variables. Find the accuracy of the model built."
2433,"Build a random forest model on top of this ‘CTG’ dataset, where ‘NSP’ is the dependent variable and all other columns are independent variables."
2434,Write a function to calculate the Euclidean distance between two points.
2435,Write code to calculate the root mean square error (RMSE) given the lists of values as actual and predicted.
2436,Mention the different kernel functions that can be used in SVM.
2437,How to detect if the time series data is stationary?
2438,Write code to calculate the accuracy of a binary classification algorithm using its confusion matrix.
2439,What does root cause analysis mean?
2440,What is A/B testing?
2441,"Out of collaborative filtering and content-based filtering, which one is considered better, and why?"
2442,"In the following confusion matrix, calculate precision and recall."
2443,Write a function that when called with a confusion matrix for a binary classification model returns a dictionary with its precision and recall.
2444,What is reinforcement learning?
2445,Explain TF/IDF vectorization.
2446,What are the assumptions required for linear regression?
2447,What happens when some of the assumptions required for linear regression are violated?
2448,Compare Mahout & MLlib
2449,What is Apache Mahout?
2450,What does Apache Mahout do?
2451,What is the History of Apache Mahout? When did it start?
2452,What are the features of Apache Mahout?
2453,How is it different from doing machine learning in R or SAS?
2454,Mention some machine learning algorithms exposed by Mahout?
2455,What is the Roadmap for Apache Mahout version 1.0?
2456,What is the difference between Apache Mahout and Apache Spark’s MLlib?
2457,Mention some use cases of Apache Mahout?
2458,How can we scale Apache Mahout in Cloud?
2459,What is the difference between Strong Artificial Intelligence and Weak Artificial Intelligence?
2460,What is Artificial Intelligence?
2461,List some applications of AI.
2462,List the programming languages used in AI.
2463,What are the Examples of AI in real life?
2464,What is ANN?
2465,"Difference between AI, ML, and DL?"
2466,How to choose an algorithm for a problem?
2467,What is Tower of Hanoi?
2468,What is Turing test?
2469,What is an expert system? What are the characteristics of an expert system?
2470,List the advantages of an expert system. 
2471,What is an A* algorithm search method? 
2472,What is a breadth-first search algorithm?
2473,What is a depth-first search algorithm?
2474,What is a bidirectional search algorithm?
2475,What is an iterative deepening depth-first search algorithm?
2476,What is a uniform cost search algorithm?
2477,How are game theory and AI related?
2478,Explain Alpha–Beta pruning.
2479,What is a fuzzy logic?
2480,List the applications of fuzzy logic.
2481,What is a partial-order planning?
2482,What is FOPL?
2483,"What is the difference between inductive, deductive, and abductive Machine Learning?"
2484,List the different algorithm techniques in Machine Learning.
2485,What is Deep Learning?
2486,"Differentiate between supervised, unsupervised, and reinforcement learning."
2487,Differentiate between parametric and non-parametric models.
2488,Name a few Machine Learning algorithms you know.
2489,What is Naive Bayes?
2490,What is a Backpropagation Algorithm?
2491,How route weights are optimized to reduce the error in the model?
2492,What is perceptron in Machine Learning?
2493,List the extraction techniques used for dimensionality reduction.
2494,Is KNN different from K-means Clustering?
2495,What is ensemble learning?
2496,List the steps involved in Machine Learning.
2497,What is a hash table?
2498,What is regularization in Machine Learning?
2499,What are the components of relational evaluation techniques?
2500,What is model accuracy and model performance?
2501,Define F1 score.
2502,List the applications of Machine Learning.
2503,Can you name three feature selection techniques in Machine Learning?
2504,What is a recommendation system?
2505,What methods are used for reducing dimensionality?
2506,List different methods for sequential supervised learning.
2507,What are the advantages of neural networks?
2508,What is Bias–Variance tradeoff?
2509,What is TensorFlow?
2510,How to install TensorFlow?
2511,What are the TensorFlow objects?
2512,What is a cost function?
2513,List different activation neurons or functions.
2514,What are the hyper parameters of ANN?
2515,What is vanishing gradient?
2516,What are dropouts?
2517,Define LSTM.
2518,List the key components of LSTM.
2519,List the variants of RNN.
2520,What is an autoencoder? Name a few applications.
2521,What are the components of the generative adversarial network (GAN)? How do you deploy it?
2522,What are the steps involved in the gradient descent algorithm?
2523,What do you understand by session in TensorFlow?
2524,What do you mean by TensorFlow cluster?
2525,How to run TensorFlow on Hadoop?
2526,What are intermediate tensors? Do sessions have lifetime?
2527,What is the lifetime of a variable?
2528,Is it possible to solve logical inference in propositional logic?
2529,How does face verification work?
2530,What are some of the algorithms used for hyperparameter optimization?
2531,What is overfitting? How is overfitting fixed?
2532,How is overfitting avoided in neural networks?
2533,"Explain Machine Learning, Artificial Intelligence, and Deep Learning"
2534,What is Bias and Variance in Machine Learning?
2535,What is Clustering in Machine Learning?
2536,What is Linear Regression in Machine Learning?
2537,What is a Decision Tree in Machine Learning?
2538,What is Overfitting in Machine Learning and how can it be avoided?
2539,What is Hypothesis in Machine Learning?
2540,What are the differences between Deep Learning and Machine Learning?
2541,What are the differences between Supervised and Unsupervised Machine Learning?
2542,What is Bayes’s Theorem in Machine Learning?
2543,What is PCA in Machine Learning?
2544,What is Support Vector Machine (SVM) in Machine Learning?
2545,What is Cross-validation in Machine Learning?
2546,What is Entropy in Machine Learning?
2547,What is Epoch in Machine Learning?
2548,What are the types of Machine Learning?
2549,Differentiate between Classification and Regression in Machine Learning
2550,How is the suitability of a Machine Learning Algorithm determined for a particular problem?
2551,What is the Variance Inflation Factor?
2552,What is a Confusion Matrix?
2553,What are Type I and Type II Errors?
2554,When should Classification be used over Regression?
2555,Explain Logistic Regression
2556,How to handle Missing or Corrupted Data in a Dataset?
2557,Why is rotation required in PCA? What will happen if the components are not rotated?
2558,What is ROC Curve and what does it represent?
2559,Why are Validation and Test Datasets Needed?
2560,Explain the difference between KNN and K-means Clustering
2561,What is Dimensionality Reduction?
2562,"Both being Tree-based Algorithms, how is Random Forest different from Gradient Boosting Machine (GBM)?"
2563,What is meant by Parametric and Non-parametric Models?
2564,Differentiate between Sigmoid and Softmax Functions
2565,"In Machine Learning, for how many classes can Logistic Regression be used?"
2566,What do you understand about the P-value?
2567,What is meant by Correlation and Covariance?
2568,What are the Various Tests for Checking the Normality of a Dataset?
2569,What are the Two Main Types of Filtering in Machine Learning? Explain.
2570,Outlier Values can be Discovered from which Tools?
2571,What is meant by Ensemble Learning?
2572,What are the Various Kernels that are present in SVM?
2573,Suppose you found that your model is suffering from high variance. Which algorithm do you think could handle this situation and why?
2574,What is Rescaling of Data and how is it done?
2575,What is Binarizing of Data? How to Binarize?
2576,How to Standardize Data?
2577,"We know that one-hot encoding increases the dimensionality of a dataset, but label encoding doesn’t. How?"
2578,Executing a binary classification tree algorithm is a simple task. But how does tree splitting take place? How does the tree determine which variable to break at the root node and which at its child nodes?
2579,"Imagine you are given a dataset consisting of variables having more than 30% missing values. Let’s say, out of 50 variables, 16 variables have missing values, which is higher than 30%. How will you deal with them?"
2580,"Explain False Negative, False Positive, True Negative, and True Positive with a simple example."
2581,What is F1-score and How Is It Used?
2582,How to Implement the KNN Classification Algorithm?
2583,: What are the key differences between Data Analysis and Data Mining?
2584,: What is Data Validation?
2585,": What is Data Analysis, in brief?"
2586,: How to know if a data model is performing well or not?
2587,: Explain Data Cleaning in brief.
2588,: What are some of the problems that a working Data Analyst might encounter?
2589,: What is Data Profiling?
2590,: What are the scenarios that could cause a model to be retrained?
2591,: What are the prerequisites to become a Data Analyst?
2592,: What are the top tools used to perform Data Analysis?
2593,: What is an outlier?
2594,: How can we deal with problems that arise when the data flows in from a variety of sources?
2595,: What are some of the popular tools used in Big Data?
2596,: What is the use of a Pivot table?
2597,": Explain the KNN imputation method, in brief."
2598,: What are the top Apache frameworks used in a distributed computing environment?
2599,: What is Hierarchical Clustering?
2600,: What are the steps involved when working with a Data Analysis project?
2601,: Can you name some of the statistical methodologies used by Data Analysts?
2602,: What is Time Series Analysis?
2603,: Where is Time Series Analysis used?
2604,: What are some of the properties of clustering algorithms?
2605,: What is Collaborative Filtering?
2606,: Which are the types of Hypothesis Testing used today?
2607,: What are some of the data validation methodologies used in Data Analysis?
2608,: What is K-means algorithm?
2609,: What is the difference between the concepts of recall and the true positive rate?
2610,: What are the ideal situations in which t-test or z-test can be used?
2611,: Why is Naive Bayes called ‘naive’?
2612,: What is the simple difference between standardized and unstandardized co-efficients?
2613,: How are outliers detected?
2614,: Why is KNN preferred when determining missing numbers in data?
2615,: How can one handle suspicious or missing data in a dataset while performing analysis?
2616,: What is the simple difference between Principal Component Analysis (PCA) and Factor Analysis (FA)?
2617,: How is it beneficial to make use of version control?
2618,: What are the future trends in Data Analysis?
2619,: Why are you applying for the Data Analyst role in our company?
2620,: Can you rate yourself on a scale of 1–10 depending on your proficiency in Data Analysis?
2621,: Has your college degree helped you with Data Analysis in any way?
2622,: What is your plan after taking up this Data Analyst role?
2623,: What are the disadvantages of Data Analytics?
2624,: What skills should a successful Data Analyst possess?
2625,: Why do you think you are the right fit for this Data Analyst role?
2626,: Can you please talk about your past Data Analysis work?
2627,: Can you please explain how you would estimate the number of visitors to the Taj Mahal in November 2019?
2628,: Do you have any experience working in the same industry as ours before?
2629,: Have you earned any sort of certifications to boost your opportunities as a Data Analyst aspirant?
2630,: What tools do you prefer to use in the various phases of Data Analysis?
2631,: Which step of a Data Analysis project do you like the most?
2632,: How good are you in terms of explaining technical content to a non-technical audience with respect to Data Analysis?
2633,What is Data Engineering?
2634,Define Data Modeling.
2635,What are some of the design schemas used when performing Data Modeling?
2636,What are the differences between structured and unstructured data?
2637,What is Hadoop? Explain briefly.
2638,What are some of the important components of Hadoop?
2639,What is a NameNode in HDFS?
2640,What is Hadoop Streaming?
2641,What are some of the important features of Hadoop?
2642,What are the four Vs of Big Data?
2643,What is Block and Block Scanner in HDFS?
2644,How does a Block Scanner handle corrupted files?
2645,How does the NameNode communicate with the DataNode?
2646,What is meant by COSHH?
2647,"What is Star Schema, in brief?"
2648,Explain Snowflake in brief. 
2649,State the differences between Star Schema and Snowflake Schema.
2650,Name the XML configuration files present in Hadoop.
2651,What is the meaning of FSCK?
2652,What are some of the methods of Reducer?
2653,What are the different usage modes of Hadoop?
2654,How is data security ensured in Hadoop?
2655,"Which are the default port numbers for Port Tracker, Task Tracker, and NameNode in Hadoop?"
2656,How does Big Data Analytics help increase the revenue of a company?
2657,"In your opinion, what does a Data Engineer majorly do?"
2658,What are some of the technologies and skills that a Data Engineer should possess?
2659,What is the difference between a Data Architect and a Data Engineer?
2660,How is the distance between nodes defined when using Hadoop?
2661,What is the data stored in the NameNode?
2662,What is meant by Rack Awareness?
2663,What is a Heartbeat message?
2664,What is the use of a Context Object in Hadoop?
2665,What is the use of Hive in the Hadoop ecosystem?
2666,What is the use of Metastore in Hive?
2667,What are the components that are available in the Hive data model?
2668,Can you create more than a single table for an individual data file?
2669,What is the meaning of Skewed tables in Hive?
2670,What are the collections that are present in Hive?
2671,What is SerDe in Hive?
2672,What are the table creation functions present in Hive?
2673,What is the role of the .hiverc file in Hive?
2674,What are *args and **kwargs used for?
2675,How can you see the structure of a database using MySQL?
2676,Can you search for a specific string in a column present in a MySQL table?
2677,"In brief, what is the difference between a Data Warehouse and a Database?"
2678,Have you earned any sort of certification to boost your opportunities as a Data Engineer?
2679,Do you have any experience working in the same industry as ours before?
2680,Why are you applying for the Data Engineer role in our company?
2681,What is your plan after joining this Data Engineer role?
2682,Do you have prior experience working with Data Modeling?
2683,Watch this video on Natural Language Processing Interview Questions for Beginners:
2684,What do you understand by Natural Language Processing?
2685,If you want to learn Natural Language Processing then go through the following tutorial:
2686,List any two real-life applications of Natural Language Processing.
2687,What are stop words?
2688,What is NLTK?
2689,What is Syntactic Analysis?
2690,What is Semantic Analysis?
2691,List the components of Natural Language Processing.
2692,What is Latent Semantic Indexing (LSI)?
2693,What are Regular Expressions?
2694,What is Regular Grammar?
2695,What is Parsing in the context of NLP?
2696,What is TF-IDF?
2697,Define the terminology in NLP.
2698,Explain Dependency Parsing in NLP.
2699,What is the difference between NLP and NLU?
2700,What is the difference between NLP and CI?
2701,What is Pragmatic Analysis?
2702,What is Pragmatic Ambiguity?
2703,"What are unigrams, bigrams, trigrams, and n-grams in NLP?"
2704,What are the steps involved in solving an NLP problem?
2705,What is Feature Extraction in NLP?
2706,What is precision and recall?
2707,What is F1 score in NLP?
2708,How to tokenize a sentence using the nltk package?
2709,Explain how we can do parsing.
2710,Explain Stemming with the help of an example.
2711,Explain Lemmatization with the help of an example.
2712,What is Parts-of-speech Tagging?
2713,Explain Named Entity Recognition by implementing it.
2714,How to check word similarity using the spacy package?
2715,"Check out our Deep Learning Interview Questions And Answers on YouTube, designed especially for beginners:"
2716,What is the difference between Machine Learning and Deep Learning?
2717,What is a perceptron?
2718,How is Deep Learning better than Machine Learning?
2719,What are some of the most used applications of Deep Learning?
2720,What is the meaning of overfitting?
2721,What are activation functions?
2722,Why is Fourier transform used in Deep Learning?
2723,What are the steps involved in training a perception in Deep Learning?
2724,What is the use of the loss function?
2725,What are some of the Deep Learning frameworks or tools that you have used?
2726,What is the use of the swish function?
2727,What are autoencoders?
2728,What are the steps to be followed to use the gradient descent algorithm?
2729,Differentiate between a single-layer perceptron and a multi-layer perceptron.
2730,What is data normalization in Deep Learning?
2731,What is forward propagation?
2732,What is backpropagation?
2733,What are hyperparameters in Deep Learning?
2734,How can hyperparameters be trained in neural networks?
2735,What is the meaning of dropout in Deep Learning?
2736,What are tensors?
2737,What is the meaning of model capacity in Deep Learning?
2738,What is a Boltzmann machine?
2739,What are some of the advantages of using TensorFlow?
2740,What is a computational graph in Deep Learning?
2741,What is a CNN?
2742,What are the various layers present in a CNN?
2743,What is an RNN in Deep Learning?
2744,What is a vanishing gradient when using RNNs?
2745,What is exploding gradient descent in Deep Learning?
2746,What is the use of LSTM?
2747,Where are autoencoders used?
2748,What are the types of autoencoders?
2749,What is a Restricted Boltzmann Machine?
2750,What are some of the limitations of Deep Learning?
2751,What are the variants of gradient descent?
2752,Why is mini-batch gradient descent so popular?
2753,What are deep autoencoders?
2754,Why is the Leaky ReLU function used in Deep Learning?
2755,What are some of the examples of supervised learning algorithms in Deep Learning?
2756,What are some of the examples of unsupervised learning algorithms in Deep Learning?
2757,Can we initialize the weights of a network to start from zero?
2758,What is the meaning of valid padding and same padding in CNN?
2759,What are some of the applications of transfer learning in Deep Learning?
2760,How is the transformer architecture better than RNNs in Deep Learning?
2761,What are the steps involved in the working of an LSTM network?
2762,What are the elements in TensorFlow that are programmable?
2763,What is the meaning of bagging and boosting in Deep Learning?
2764,What are generative adversarial networks (GANs)?
2765,Why are generative adversarial networks (GANs) so popular?
2766,Check out our TensorFlow Interview Questions and Answers
2767, video on YouTube designed especially for beginners:
2768,What is TensorFlow?
2769,What are tensors?
2770,What is the meaning of TensorBoard?
2771,What are some of the advantages of using TensorFlow?
2772,Are there any limitations to using TensorFlow?
2773,What are the types of tensors available in TensorFlow?
2774,How can data be loaded into TensorFlow?
2775,What is the simple working of an algorithm in TensorFlow?
2776,What are the methods that can be used to handle overfitting in TensorFlow?
2777,What are the languages that are supported in TensorFlow?
2778,What are placeholder tensors?
2779,What are managers in TensorFlow?
2780,Where is TensorFlow mostly used?
2781,What are TensorFlow servables?
2782,How does the Python API work with TensorFlow?
2783,What are some of the APIs outside of the TensorFlow project?
2784,What are TensorFlow loaders?
2785,What makes TensorFlow advantageous over other libraries?
2786,What are TensorFlow abstractions?
2787,What are the differences between tf.variable and tf.placeholder in TensorFlow?
2788,What is a graph explorer in TensorFlow?
2789,How is variable lifetime tracked in TensorFlow?
2790,What are the types of dashboards supported by TensorFlow?
2791,Can TensorFlow be deployed onto a container architecture?
2792,Differentiate between TensorFlow and PyTorch.
2793,Is word embedding supported in TensorFlow?
2794,What is the use of estimators in TensorFlow?
2795,What statistical distribution functions are provided by TensorFlow?
2796,Can you use TensorBoard without installing TensorFlow?
2797,What is the meaning of the embedding projector in TensorFlow?
2798,What are the differences between CNN and RNN?
2799,What is the difference between Type 1 and Type 2 errors?
2800,"When using TensorFlow, is performance always preferred over accuracy?"
2801,Can you give an example to create a tensor using the constant() function in TensorFlow?
2802,What are some of the products that are built using TensorFlow?
2803,What is the meaning of Deep Speech?
2804,What is the use of a histogram dashboard in TensorFlow?
2805,How is audio stored in the audio dashboard?
2806,What are some of the components needed to deploy a Lite model file?
2807,What is TensorFlow JS?
2808,What are activation functions in TensorFlow?
2809,What is the code that is used to check the version of TensorFlow using Python?
2810,What is model quantization in TensorFlow?
2811,What is the simple syntax that can be used to convert a NumPy array into a tensor?
2812,How is the weighted standard error computed in TensorFlow?
2813,What are some of the commonly used optimizers when training a model in TensorFlow?
2814,What is the use of ArrayFlow and FeedDictFlow in TensorFlow?
2815,What are some of the parameters to consider when implementing the Word2vec algorithm in TensorFlow?
2816,What are some of the important parameters to consider when implementing a random forest algorithm in TensorFlow?
2817,What are some of the numerical and categorical loss functions supported when working with TensorFlow?
2818,Check out our video on Statistics Interview Questions on YouTube designed especially for beginners:
2819,How is the statistical significance of an insight assessed?
2820,Where are long-tailed distributions used?
2821,What is the central limit theorem?
2822,What is observational and experimental data in Statistics?
2823,What is meant by mean imputation for missing data? Why is it bad?
2824,What is an outlier? How can outliers be determined in a dataset?
2825,How is missing data handled in statistics?
2826,What is exploratory data analysis?
2827,What is the meaning of selection bias?
2828,What are the types of selection bias in statistics?
2829,What is the meaning of an inlier?
2830,What is the probability of throwing two fair dice when the sum is 5 and 8?
2831,State the case where the median is a better measure when compared to the mean.
2832,Can you give an example of root cause analysis?
2833,What is the meaning of six sigma in statistics?
2834,What is DOE?
2835,What is the meaning of KPI in statistics?
2836,What type of data does not have a log-normal distribution or a Gaussian distribution?
2837,What is the Pareto principle?
2838,What is the meaning of the five-number summary in Statistics?
2839,"What are population and sample in Inferential Statistics, and how are they different?"
2840,What are quantitative data and qualitative data?
2841,What is Mean?
2842,What is the meaning of standard deviation?
2843,What is a bell-curve distribution?
2844,What is skewness?
2845,What is kurtosis?
2846,What is correlation?
2847,What are left-skewed and right-skewed distributions?
2848,What is the difference between Descriptive and Inferential Statistics?
2849,What are the types of sampling in Statistics?
2850,What is the meaning of covariance?
2851,"Imagine that Jeremy took part in an examination. The test is having a mean score of 160, and it has a standard deviation of 15. If Jeremy’s z-score is 1.20, what would be his score on the test?"
2852,"If a distribution is skewed to the right and has a median of 20, will the mean be greater than or less than 20?"
2853,What is Bessel's correction?
2854,"The standard normal curve has a total area to be under one, and it is symmetric around zero. True or False?"
2855,"In an observation, there is a high correlation between the time a person sleeps and the amount of productive work he does. What can be inferred from this?"
2856,What is the relationship between the confidence level and the significance level in statistics?
2857,A regression analysis between apples (y) and oranges (x) resulted in the following least-squares line: y = 100 + 2x. What is the implication if oranges are increased by 1?
2858,What types of variables are used for Pearson’s correlation coefficient?
2859,"In a scatter diagram, what is the line that is drawn above or below the regression line called?"
2860,What are the examples of symmetric distribution?
2861,Where is inferential statistics used?
2862,What is the relationship between mean and median in a normal distribution?
2863,"What is the difference between the Ist quartile, the IInd quartile, and the IIIrd quartile?"
2864,How do the standard error and the margin of error relate?
2865,What is one sample t-test?
2866,What is an alternative hypothesis?
2867,"Given a left-skewed distribution that has a median of 60, what conclusions can we draw about the mean and the mode of the data?"
2868,What are the types of biases that we encounter while sampling?
2869,What are the scenarios where outliers are kept in the data?
2870,Briefly explain the procedure to measure the length of all sharks in the world.
2871,How does the width of the confidence interval change with length?
2872,What is the meaning of degrees of freedom (DF) in statistics?
2873,How can you calculate the p-value using MS Excel?
2874,What is the law of large numbers in statistics?
2875,What are some of the properties of a normal distribution?
2876,"If there is a 30 percent probability that you will see a supercar in any 20-minute time interval, what is the proba­bility that you see at least one supercar in the period of an hour (60 minutes)?"
2877,What is the meaning of sensitivity in statistics?
2878,What are the types of biases that you can encounter while sampling?
2879,What is the meaning of TF/IDF vectorization?
2880,What are some of the low and high-bias Machine Learning algorithms?
2881,What is the use of Hash tables in statistics?
2882,What are some of the techniques to reduce underfitting and overfitting during model training?
2883,Can you give an example to denote the working of the central limit theorem?
2884,How do you stay up-to-date with the new and upcoming concepts in statistics?
2885,What is the benefit of using box plots?
2886,Does a symmetric distribution need to be unimodal?
2887,What is the impact of outliers in statistics?
2888,"When creating a statistical model, how do we detect overfitting?"
2889,What is a survivorship bias?
2890,What is an undercoverage bias?
2891,What is the relationship between standard deviation and standard variance?
2892,What is SQL?
2893,What are the subsets of SQL? 
2894,Explain the different types of SQL commands.
2895,What are the different types of database management systems?
2896,What are the usages of SQL?
2897,What is a default constraint?
2898,What is a unique constraint?
2899,What do you mean by table and field in SQL?
2900,What is a primary key?
2901,What is a Unique Key?
2902,What is the difference between Primary key and Unique Key?
2903,What is a foreign key?
2904,What is an index?
2905,Explain the types of indexes.
2906,What are Entities and Relationships?
2907,How would you find the second highest salary from the below table?
2908,Why do we use the FLOOR function in SQL Server?
2909,State the differences between clustered and non-clustered indexes.
2910,What do you know about CDC in SQL Server?
2911,What is the difference between SQL and MySQL?
2912,State the differences between SQL and PL/SQL.
2913,What is the ACID property in a database?
2914,How can we handle expectations in SQL Server?
2915,What is the need for group functions in SQL?
2916,What do you understand about a character manipulation function?
2917,What is AUTO_INCREMENT?
2918,What is the difference between DELETE and TRUNCATE commands?
2919,What is a “TRIGGER” in SQL?
2920,"In SQL Server, how many authentication modes are there? And what are they?"
2921,What is the COALESCE function?
2922,What do you understand about normalizationand denormalization?
2923,What are some common clauses used with SELECT queries in SQL?
2924,What is wrong with the below-given SQL query?
2925,What is a function in SQL Server?
2926,What do you know about the stuff() function?
2927,What are Views? Give an example.
2928,What are the third-party tools that are used in an SQL Server?
2929,What are the types of views in SQL?
2930,What is a stored procedure? Give an example.
2931,What do you know about Joins? Define different types of Joins.
2932,Where are usernames and passwords stored in SQL Server?
2933,What are the types of relationships in SQL Server databases?
2934,Explain Inner Join with Example.
2935,State the differences between views and tables.
2936,Mention different types of replication in SQL Server?
2937,What do you understand about a temporary table? Write a query to create a temporary table.
2938,Explain the difference between OLTP and OLAP.
2939,What do you understand by Self Join? Explain using Example.
2940,Which command do we use to find out the SQL Server version?
2941,What is the difference between Union and Union All operators?
2942,Can we link SQL Server with others?
2943,What is SQL Server Agent?
2944,What is Cursor? How to use a Cursor?
2945,What do you know about magic tables in SQL Server?
2946,What is the use of the Intersect operator?
2947,How can you copy data from one table into another?
2948,What is the difference between BETWEEN and IN operators in SQL?
2949,Describe how to delete duplicate rows using a single statement but without any table creation.
2950,Can you identify the employee who is having the third-highest salary from the given Employee table (with salary-related data)?
2951,What is the difference between HAVING and WHERE clauses?
2952,Explain database white box testing and black box testing.
2953,Mention Oracle DBA Characteristics.
2954,What is Oracle?
2955,What is an Oracle Database?
2956,What is an Oracle index?
2957,Why is the index used?
2958,Who is responsible to update the indexes?
2959,What are the various databases available in the market?
2960,What are the physical components of Oracle Database?
2961,What are the roles of DBA?
2962,What are the different Oracle Database objects?
2963,What is a Synonym in Oracle terminology? 
2964,Explain the types of Synonyms? 
2965,What are the types of backups in Oracle?
2966,What are Hot Backup and Cold Backup?
2967,What is the password file and why it is needed?
2968,What are datafiles?
2969,How do you switch from an init.ora file to a spfile?
2970,What are the different types of SQL statements?
2971,What is Data Normalization?
2972,What is a control file? 
2973,How will you recover a lost control file?
2974,What do you mean by Red logo files?
2975,Define Parameter files?
2976,What do you mean by Recovery Catalog?
2977,Define system tablespace and why do we need it?
2978,How to find the database version?
2979,What is the sequence?
2980,What is the definition of the table in Oracle?
2981,What do you mean by a view in SQL terminology?
2982,Explain the advantages of using view?
2983,"In Oracle terminology, what do you mean by tablespace?"
2984,How long does it take for the SYSTEM tablespace to be created?
2985,What is the relationship between tablespace and datafiles?
2986,How do we use the materialized view?
2987,What is the use of the SELECT statement?
2988,How can you compare a part of the name rather than the entire name?
2989,What is the keyword to get distinct records from a table?
2990,"In order to get sorted records from a table, what is the keyword?"
2991,"In order to get total records from a table, what is the keyword?"
2992,What is the definition of GROUP BY?
2993,What are the methods to shutdown an Oracle database?
2994,What are the benefits of ORDBMS?
2995,What are the common Oracle DBA tasks?
2996,List out the tools for administering the database.
2997,Differentiate between a cluster and a grid.
2998,Explain the architecture of Oracle Grid.
2999,What are the tools you can use to start up an Oracle database?
3000,What would you specify in the script while creating a database with SQL script?
3001,Can you find out the indexes for a table in Oracle ?
3002,What is SQL*plus? And what can be done with it?
3003,Can you explain each digit in the Oracle database version?
3004,What kind of information can be given while creating a sequence?
3005,Explain how the “Database Writer” process works?
3006,What are the instance parameters that are used for configuring shared server architecture?
